Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,Margin of Safety,Business Predictability,Fair Value,Fair Value - Price,Baggers
CCLD,CareCloud Inc. Common Stock,1.37,-0.05,-0.03521,21746174.0,United States,2014.0,28843,Technology,Computer Software: Prepackaged Software,91.55,1.0,$ 15.63,14.260000000000002,10.408759124087592
CNF,CNFinance Holdings Limited American Depositary Shares each representing  twenty (20) Ordinary Shares,2.301,0.061,0.02723,157807555.0,,2018.0,5519,Finance,Finance: Consumer Services,90.57,0.0,$ 24.70,22.399,9.734463276836157
STLA,Stellantis N.V. Common Shares,26.26,0.08,0.00306,79386580764.0,United Kingdom,2014.0,5197454,Consumer Discretionary,Auto Manufacturing,90.27,1.0,$ 272.14,245.88,9.363290175171363
XYF,X Financial American Depositary Shares each representing six Class A Ordinary Shares,4.1,-0.0336,-0.00813,196744355.0,Cayman Islands,2018.0,12048,Finance,Finance: Consumer Services,89.93,0.0,$ 42.19,38.089999999999996,9.290243902439025
SBOW,SilverBow Resorces Inc. Common Stock,28.39,-0.06,-0.00211,721946628.0,United States,,794239,Energy,Oil & Gas Production,89.41,1.0,$ 281.25,252.86,8.906657273687918
QRTEA,Qurate Retail Inc. Series A Common Stock ,1.41,-0.07,-0.0473,549050362.0,United States,,5421677,Consumer Discretionary,Catalog/Specialty Distribution,89.9,1.0,$ 13.96,12.55,8.900709219858157
PARR,Par Pacific Holdings Inc.  Common Stock,36.12,-0.4,-0.01095,2185248369.0,United States,,2059085,Energy,Oil & Gas Production,89.87,1.0,$ 355.00,318.88,8.828349944629014
GAU,Galiano Gold Inc.,0.9501,0.0101,0.01074,213730809.0,Canada,,204136,,,88.47,1.0,$ 9.02,8.0699,8.493737501315652
SSRM,SSR Mining Inc. Common Stock,4.3,0.01,0.00233,870593897.0,Canada,,5484487,,,89.52,1.0,$ 40.63,36.330000000000005,8.448837209302328
FIHL,Fidelis Insurance Holdings Limited Common Shares,14.96,0.21,0.01424,1764004720.0,Bermuda,2023.0,552180,,,87.83,0.0,$ 138.94,123.97999999999999,8.287433155080214
UONEK,Urban One Inc. Class D Common Stock,2.91,0.0,0.0,142232117.0,United States,,339611,Consumer Discretionary,Broadcasting,88.11,1.0,$ 25.74,22.83,7.845360824742267
BURU,Nuburu Inc. Common Stock,0.1445,-0.0055,-0.03667,5331230.0,United States,2020.0,210761,Technology,Industrial Machinery/Components,88.19,0.0,$ 1.27,1.1255,7.788927335640139
AMCX,AMC Networks Inc. Class A Common Stock,12.94,0.12,0.00936,563686353.0,United States,,614679,Telecommunications,Cable & Other Pay Television Services,88.2,1.5,$ 110.68,97.74000000000001,7.553323029366307
YRD,Yiren Digital Ltd. American Depositary Shares each representing two ordinary shares,5.13,0.04,0.00786,458051975.0,China,2015.0,46747,Finance,Finance: Consumer Services,87.23,0.0,$ 43.21,38.08,7.423001949317738
BBAR,Banco BBVA Argentina S.A. ADS,6.34,0.21,0.03426,1294860634.0,Argentina,,945210,Finance,Commercial Banks,88.09,5.0,$ 52.81,46.47,7.329652996845426
SCX,L.S. Starrett Company (The) Common Stock,10.14,0.13,0.01299,76100670.0,United States,,13686,Consumer Discretionary,Industrial Machinery/Components,88.11,1.0,$ 84.19,74.05,7.302761341222879
TNK,Teekay Tankers Ltd.,54.82,-0.28,-0.00508,1852286337.0,Bermuda,2007.0,424379,Consumer Discretionary,Marine Transportation,87.96,1.0,$ 454.69,399.87,7.29423568040861
MOB,Mobilicom Limited American Depositary Shares,1.4201,0.0001,7e-05,6844882.0,Israel,2022.0,15609,Real Estate,Real Estate Investment Trusts,87.95,0.0,$ 11.70,10.2799,7.238856418562073
LNG,Cheniere Energy Inc. Common Stock,155.2,2.31,0.01511,36424240925.0,United States,2001.0,3705526,Utilities,Oil/Gas Transmission,87.67,1.0,"$ 1,266.88",1111.68,7.1628865979381455
TRMD,TORM plc Class A Common Stock,33.81,-0.53,-0.01543,2821444500.0,United Kingdom,,438358,Consumer Discretionary,Marine Transportation,87.68,1.0,$ 274.59,240.77999999999997,7.121561668145517
GAM,General American Investors Inc. Common Stock,44.75,0.125,0.0028,1072908548.0,United States,,14819,Finance,Investment Managers,87.2,0.0,$ 353.28,308.53,6.894525139664804
STG,Sunlands Technology Group American Depositary Shares representing Class A ordinary shares,10.0,-0.1138,-0.01125,138528800.0,,2018.0,3473,Real Estate,Other Consumer Services,86.53,0.0,$ 78.70,68.7,6.87
JFIN,Jiayin Group Inc. American Depositary Shares,5.705,0.235,0.04296,304828710.0,China,2019.0,41535,Finance,Finance: Consumer Services,86.61,0.0,$ 44.66,38.955,6.828220858895705
CX,Cemex S.A.B. de C.V. Sponsored ADR,7.64,-0.04,-0.00521,11239595718.0,Mexico,,6639193,Industrials,Building Materials,86.84,1.0,$ 59.57,51.93,6.797120418848168
UONE,Urban One Inc. Class A Common Stock,3.31,0.05,0.01534,161782923.0,United States,,24451,Consumer Discretionary,Broadcasting,86.91,1.0,$ 25.74,22.43,6.77643504531722
LX,LexinFintech Holdings Ltd. American Depositary Shares,1.84,0.01,0.00546,299417476.0,China,2017.0,5168798,Finance,Finance: Consumer Services,86.58,0.0,$ 14.08,12.24,6.6521739130434785
ZYME,Zymeworks Inc. Common Stock,12.01,-0.05,-0.00415,840723864.0,United States,,666673,Health Care,Biotechnology: Pharmaceutical Preparations,86.26,0.0,$ 91.06,79.05,6.582014987510408
MXE,Mexico Equity and Income Fund Inc. (The) Common Stock,10.96,0.04,0.00366,0.0,United States,,2380,Finance,Finance Companies,86.74,0.0,$ 82.81,71.85,6.555656934306568
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,16.52,-0.2,-0.01196,107745102424.0,Brazil,,26284576,Energy,Oil & Gas Production,86.61,1.0,$ 124.58,108.06,6.541162227602906
MED,MEDIFAST INC Common Stock,40.09,-0.48,-0.01183,436804404.0,United States,,397488,Consumer Staples,Packaged Foods,86.59,3.5,$ 301.56,261.47,6.522075330506361
CXAI,CXApp Inc. Class A Common Stock,2.98,0.61,0.25738,45458079.0,United States,2021.0,19857495,Technology,EDP Services,87.36,0.0,$ 22.31,19.33,6.4865771812080535
BNRE,Brookfield Reinsurance Ltd. Class A Exchangeable Limited Voting Shares,41.1,0.16,0.00391,4490367101.0,,2021.0,5760,Finance,Property-Casualty Insurers,86.43,0.0,$ 305.94,264.84,6.443795620437955
BIDU,Baidu Inc. ADS,101.33,-1.98,-0.01917,35422249721.0,China,2005.0,7476447,Technology,Computer Software: Programming Data Processing,85.87,1.0,$ 737.32,635.99,6.27642356656469
GASS,StealthGas Inc. Common Stock,6.17,-0.03,-0.00484,237483300.0,Greece,2005.0,119664,Consumer Discretionary,Marine Transportation,85.95,1.0,$ 43.70,37.53,6.082658022690437
GRVY,GRAVITY Co. Ltd. American Depository Shares,77.07,2.12,0.02829,535551723.0,South Korea,2005.0,29435,Consumer Discretionary,Business Services,85.79,1.0,$ 544.67,467.59999999999997,6.067211625794732
GGAL,Grupo Financiero Galicia S.A. American Depositary Shares,22.01,0.27,0.01242,3245797290.0,Argentina,,1864268,Finance,Commercial Banks,85.56,5.0,$ 154.19,132.18,6.005452067242163
VTLE,Vital Energy Inc. Common Stock par value $0.01 per share,50.33,0.87,0.01759,4162289540.0,United States,2011.0,787464,Energy,Oil & Gas Production,85.54,1.0,$ 351.41,301.08000000000004,5.982118021060998
COMM,CommScope Holding Company Inc. Common Stock,1.165,-0.685,-0.37027,247048119.0,United States,2013.0,12978886,Technology,Radio And Television Broadcasting And Communications Equipment,85.85,1.0,$ 8.13,6.965000000000001,5.978540772532189
GPRK,Geopark Ltd Common Shares,8.6,0.17,0.02017,499660000.0,Bermuda,2014.0,766426,Energy,Oil & Gas Production,85.28,1.0,$ 59.64,51.04,5.934883720930233
IRS,IRSA Inversiones Y Representaciones S.A. Global Depositary Shares (Each representing ten shares of Common Stock),7.75,0.01,0.00129,628631532.0,Argentina,,249720,Real Estate,Homebuilding,85.08,1.0,$ 52.28,44.53,5.7458064516129035
JXN,Jackson Financial Inc. Class A Common Stock ,55.05,-0.03,-0.00054,4376478578.0,United States,2021.0,734955,Finance,Life Insurance,84.66,0.0,$ 369.07,314.02,5.704268846503179
AINC,Ashford Inc. (Holding Company) Common Stock,2.79,0.27,0.10714,8966990.0,United States,2014.0,12272,Consumer Discretionary,Professional Services,86.01,1.0,$ 18.58,15.79,5.659498207885305
SOGP,Sound Group Inc. American Depositary Shares,3.6,-0.01,-0.00277,18656978.0,China,2020.0,69636,Technology,Computer Software: Programming Data Processing,84.9,0.0,$ 23.97,20.369999999999997,5.658333333333332
GGB,Gerdau S.A. Common Stock,4.31,0.01,0.00233,7212341889.0,Brazil,,3996847,Industrials,Steel/Iron Ore,84.04,1.0,$ 28.13,23.82,5.526682134570766
LPG,Dorian LPG Ltd. Common Stock,36.15,0.03,0.00083,1467439806.0,United States,2014.0,762514,Consumer Discretionary,Marine Transportation,84.54,0.0,$ 234.41,198.26,5.484370677731674
EEX,Emerald Holding Inc. Common Stock,5.36,-1.13,-0.17411,337103387.0,United States,2017.0,202747,Consumer Discretionary,Advertising,83.57,0.0,$ 34.75,29.39,5.483208955223881
AONC,American Oncology Network Inc. Class A Common Stock,5.97,0.21,0.03646,206918111.0,United States,2021.0,3196,Health Care,Medical/Nursing Services,84.8,0.0,$ 38.55,32.58,5.457286432160804
DSX,Diana Shipping inc. common stock,3.05,-0.01,-0.00327,475363881.0,Greece,2005.0,912852,Consumer Discretionary,Marine Transportation,84.19,1.0,$ 19.61,16.56,5.4295081967213115
CET,Central Securities Corporation Common Stock,38.83,0.11,0.00284,9397838516.0,United States,1951.0,21896,Finance,Finance/Investors Services,84.16,1.0,$ 247.81,208.98000000000002,5.3819211949523575
EQS,Equus Total Return Inc. Common Stock,1.4699,0.0099,0.00678,19870323.0,United States,,4184,Finance,Finance Companies,84.06,1.0,$ 9.35,7.8801,5.360976937206613
NOG,Northern Oil and Gas Inc. Common Stock,35.73,0.67,0.01911,3604196828.0,United States,2022.0,1685779,Energy,Oil & Gas Production,83.91,1.0,$ 226.56,190.83,5.340890008396307
ECO,Okeanis Eco Tankers Corp. Common Stock,29.23,-0.92,-0.03051,0.0,,,121994,,,83.94,0.0,$ 184.44,155.21,5.309955525145399
INSW,International Seaways Inc. Common Stock ,52.93,0.67,0.01282,2588753846.0,United States,2016.0,795005,Consumer Discretionary,Marine Transportation,83.79,1.0,$ 333.13,280.2,5.29378424334026
JAN,JanOne Inc. Common Stock (NV),1.09,0.05,0.04808,5403835.0,United States,,231161,Utilities,Environmental Services,76.51,1.0,$ 6.77,5.68,5.211009174311926
ALTM,Arcadium Lithium plc Ordinary Shares,5.49,0.34,0.06602,5897420866.0,United States,2024.0,16275533,,,83.73,0.0,$ 34.06,28.57,5.204007285974499
HOV,Hovnanian Enterprises Inc. Class A Common Stock,156.66,12.86,0.08943,954940613.0,United States,1983.0,74592,Consumer Discretionary,Homebuilding,82.9,1.0,$ 959.69,803.0300000000001,5.125941529426785
OCUP,Ocuphire Pharma Inc. Common Stock,2.535,-0.055,-0.02124,57386316.0,United States,,111277,Health Care,Biotechnology: Pharmaceutical Preparations,83.27,0.0,$ 15.12,12.584999999999999,4.964497041420118
LYG,Lloyds Banking Group Plc American Depositary Shares,2.34,0.03,0.01299,148751988049.0,United Kingdom,,7136430,Finance,Commercial Banks,82.92,1.0,$ 13.76,11.42,4.880341880341881
BRY,Berry Corporation (bry) Common Stock,7.05,-0.01,-0.00142,533450771.0,United States,2018.0,2088097,Energy,Oil & Gas Production,82.52,0.0,$ 41.25,34.2,4.851063829787234
SURG,SurgePays Inc. Common Stock,7.76,0.46,0.06301,110410848.0,United States,,765428,Consumer Discretionary,Advertising,83.23,1.0,$ 45.31,37.550000000000004,4.838917525773197
TITN,Titan Machinery Inc. Common Stock,25.23,-0.02,-0.00079,576490034.0,United States,2007.0,148179,Consumer Discretionary,Other Specialty Stores,82.46,1.0,$ 146.88,121.64999999999999,4.821640903686087
RNR,RenaissanceRe Holdings Ltd. Common Stock,224.82,-4.28,-0.01868,11846758380.0,Bermuda,,387862,Finance,Property-Casualty Insurers,82.9,1.0,"$ 1,306.25",1081.43,4.8102037185303805
BWFG,Bankwell Financial Group Inc. Common Stock,25.47,0.47,0.0188,199725960.0,United States,2014.0,8479,Finance,Major Banks,82.66,3.0,$ 146.56,121.09,4.754220651747154
MHUA,Meihua International Medical Technologies Co. Ltd. Ordinary Shares,0.7048,-0.0228,-0.03134,16872912.0,China,2022.0,84462,Health Care,Medical Specialities,82.92,0.0,$ 4.04,3.3352,4.732122587968218
BELFB,Bel Fuse Inc. Class B Common Stock,51.97,1.65,0.03279,4389799989.46256,United States,,225667,,,81.83,1.0,$ 296.56,244.59,4.706369059072542
SPHR,Sphere Entertainment Co. Class A Common Stock,43.3,2.51,0.06153,1521512681.0,United States,2020.0,1377739,Consumer Discretionary,Movies/Entertainment,82.01,0.0,$ 246.22,202.92000000000002,4.686374133949192
RAYA,Erayak Power Solution Group Inc. Class A Ordinary Shares,0.7901,0.0101,0.01295,9836745.0,China,2022.0,7576,Consumer Discretionary,Metal Fabrications,83,0.0,$ 4.47,3.6799,4.657511707378813
MNSB,MainStreet Bancshares Inc. Common Stock,18.015,0.075,0.00418,135604219.0,United States,,12079,Finance,Major Banks,82.32,4.0,$ 101.25,83.235,4.620316402997502
OI,O-I Glass Inc. Common Stock,16.92,0.4,0.02421,2600094099.0,United States,,1750052,Consumer Discretionary,Containers/Packaging,81.66,1.0,$ 93.85,76.92999999999999,4.546690307328604
FCNCA,First Citizens BancShares Inc. Class A Common Stock,1573.81,7.52,0.0048,22858984333.0,United States,,132220,Finance,Major Banks,81.91,2.0,"$ 8,661.86",7088.050000000001,4.503752041224799
MCB,Metropolitan Bank Holding Corp. Common Stock,39.21,-1.61,-0.03944,433769604.0,United States,2017.0,175526,Finance,Major Banks,82.3,0.0,$ 214.69,175.48,4.475388931395052
AMRK,A-Mark Precious Metals Inc. Common Stock,25.69,0.2,0.00785,587133133.0,United States,,625926,Industrials,Other Specialty Stores,81.36,1.0,$ 140.47,114.78,4.467886337096147
ETV,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,12.96,0.05,0.00387,1416117803.0,United States,2005.0,152472,Finance,Investment Managers,81.41,0.0,$ 70.31,57.35,4.425154320987654
DDI,DoubleDown Interactive Co. Ltd. American Depository Shares,12.83,0.23,0.01825,635770635.0,South Korea,2021.0,4701,Technology,EDP Services,81.3,0.0,$ 69.16,56.33,4.390491036632891
GES,Guess? Inc. Common Stock,25.38,0.37,0.01479,1362913462.0,United States,1996.0,598052,Consumer Discretionary,Apparel,81.21,1.0,$ 134.88,109.5,4.3144208037825065
TH,Target Hospitality Corp. Common Stock,9.68,0.08,0.00833,984082458.0,United States,2018.0,352172,Consumer Discretionary,Hotels/Resorts,81.29,0.0,$ 51.25,41.57,4.294421487603306
KIO,KKR Income Opportunities Fund Common Shares,13.39,0.13,0.0098,0.0,,2013.0,187170,Finance,Investment Managers,80.83,0.0,$ 70.31,56.92,4.250933532486931
IH,iHuman Inc. American depositary shares each representing five Class A ordinary shares,2.03,0.05,0.02525,107883321.0,United States,2020.0,37465,Real Estate,Other Consumer Services,81.07,0.0,$ 10.62,8.59,4.23152709359606
CACO,Caravelle International Group Ordinary Shares,0.5163,-0.1158,-0.1832,27247515.0,Singapore,,61800,Consumer Discretionary,Marine Transportation,77.99,0.0,$ 2.68,2.1637000000000004,4.190780553941508
BPT,BP Prudhoe Bay Royalty Trust Common Stock,2.18,-0.13,-0.05628,46652000.0,United States,,184987,Energy,Integrated oil Companies,79.98,1.0,$ 11.29,9.11,4.178899082568806
GPI,Group 1 Automotive Inc. Common Stock,270.65,8.95,0.0342,3704076385.0,United States,1997.0,121104,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,80.42,3.5,"$ 1,390.03",1119.38,4.135895067430261
MVLA,Movella Holdings Inc. Common Stock,0.3616,-0.0384,-0.096,18408127.0,United States,2021.0,946007,Technology,EDP Services,79.46,0.0,$ 1.85,1.4884000000000002,4.116150442477877
MCFT,MasterCraft Boat Holdings Inc. Common Stock,21.93,0.2,0.0092,373551344.0,United States,2015.0,119295,Industrials,Marine Transportation,80.33,1.0,$ 111.56,89.63,4.087095303237574
VEON,VEON Ltd. ADS,26.05,0.1,0.00385,1830513832.0,Netherlands,,38705,Telecommunications,Telecommunications Equipment,80.37,1.0,$ 132.40,106.35000000000001,4.082533589251439
CALM,Cal-Maine Foods Inc. Common Stock,57.49,0.09,0.00157,2816010421.0,United States,1996.0,420294,Consumer Staples,Farming/Seeds/Milling,80.82,1.0,$ 292.19,234.7,4.082449121586363
RAND,Rand Capital Corporation Common Stock,13.8001,0.0201,0.00146,35618348.0,United States,,466,Finance,Finance: Consumer Services,80.36,1.0,$ 70.00,56.1999,4.072427011398468
VIRC,Virco Manufacturing Corporation Common Stock,10.54,0.48,0.04771,172300690.0,United States,,142699,Consumer Discretionary,Industrial Specialties,79.83,1.0,$ 53.44,42.9,4.0702087286527515
BCBP,BCB Bancorp Inc. (NJ) Common Stock,10.49,0.1,0.00962,176735583.0,United States,2005.0,30461,Finance,Savings Institutions,80.33,1.0,$ 53.13,42.64,4.064823641563394
BZH,Beazer Homes USA Inc. Common Stock,31.33,1.06,0.03502,988302062.0,United States,1994.0,348584,Consumer Discretionary,Homebuilding,79.84,1.0,$ 157.81,126.48,4.037025215448453
KGEI,Kolibri Global Energy Inc. Common stock,3.35,0.21,0.06688,119345716.0,United States,,16818,,,80.25,1.0,$ 16.81,13.459999999999999,4.017910447761194
CHCI,Comstock Holding Companies Inc. Class A Common Stock,4.7987,0.0687,0.01452,46315891.0,United States,2004.0,1098,Finance,Real Estate,80.55,1.0,$ 24.06,19.2613,4.013857919853293
PHXM,PHAXIAM Therapeutics S.A.. American Depositary Shares,2.74,0.0,0.0,16645788.0,France,2017.0,184,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),79.47,1.0,$ 13.69,10.95,3.996350364963503
BELFA,Bel Fuse Inc. Class A Common Stock,59.5,0.71,0.01208,4414766485.00666,United States,,1814,,,79.36,1.0,$ 296.56,237.06,3.984201680672269
IGIC,International General Insurance Holdings Ltd. Ordinary Share,12.25,-0.66,-0.05112,600085973.0,Jordan,2018.0,120057,Finance,Property-Casualty Insurers,80.37,0.0,$ 60.94,48.69,3.97469387755102
NRT,North European Oil Royality Trust Common Stock,5.36,-0.14,-0.02545,49261562.0,United States,,65642,Energy,Oil & Gas Production,79.05,1.0,$ 26.54,21.18,3.9514925373134324
CNHI,CNH Industrial N.V. Common Shares,11.95,0.04,0.00336,15899279928.0,United Kingdom,2013.0,21260624,Industrials,Construction/Ag Equipment/Trucks,79.49,1.0,$ 58.84,46.89,3.9238493723849377
AXS,Axis Capital Holdings Limited Common Stock,62.57,-0.07,-0.00112,5333571167.0,Bermuda,2003.0,838265,Finance,Property-Casualty Insurers,80.14,1.0,$ 307.50,244.93,3.9144957647434873
AGRO,Adecoagro S.A. Common Shares,10.04,0.06,0.00601,1086239829.0,Luxembourg,2011.0,558996,Consumer Staples,Farming/Seeds/Milling,79.41,5.0,$ 49.21,39.17,3.9013944223107573
DAC,Danaos Corporation Common Stock,71.95,-0.27,-0.00374,1464182500.0,Greece,2006.0,97563,Consumer Discretionary,Marine Transportation,79.41,1.0,$ 351.95,280,3.891591382904795
ABG,Asbury Automotive Group Inc Common Stock,208.83,0.54,0.00259,4297172595.0,United States,2002.0,302736,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,79.43,5.0,"$ 1,019.69",810.86,3.8828712349758177
CNXC,Concentrix Corporation Common Stock,72.45,0.57,0.00793,4803688140.0,United States,,1278041,Technology,Computer Software: Prepackaged Software,79.26,0.0,$ 353.75,281.3,3.8826777087646653
DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares,65.93,-0.44,-0.00663,4997930391.0,Canada,,103082,,,79.47,4.0,$ 321.39,255.45999999999998,3.8747156074624596
MHLD,Maiden Holdings Ltd.,1.35,0.14,0.1157,136267974.0,Bermuda,2008.0,904426,Finance,Property-Casualty Insurers,77.66,1.0,$ 6.58,5.23,3.8740740740740742
OPBK,OP Bancorp Common Stock,10.36,0.16,0.01569,155391743.0,United States,2018.0,14829,Finance,Major Banks,79.58,1.0,$ 50.00,39.64,3.8262548262548264
STNG,Scorpio Tankers Inc. Common Shares,67.13,0.33,0.00494,3714417021.0,Monaco,2010.0,999379,Consumer Discretionary,Marine Transportation,79.27,1.0,$ 323.66,256.53000000000003,3.8213913302547304
CUBA,Herzfeld Caribbean Basin Fund Inc. (The) Common Stock,2.61,-0.0101,-0.00385,0.0,United States,,157919,Finance,Investment Managers,78.86,0.0,$ 12.58,9.97,3.81992337164751
