Ticker,P/B Ratio
AROW,1.258
SIEB,1.092
BGC,5.14
OPOF,0.886
LKFN,2.501
FRST,0.755
BCAL,0.884
NEWT,1.164
MBCN,1.131
UNB,1.885
INBK,0.809
WSBC,0.705
RMBI,1.093
BMRC,0.808
FHB,1.18
GS,1.425
WFC,1.192
ASBA,0.873
BANFP,0.564
BPOPM,0.346
BWBBP,1.269
CCNEP,0.874
CNOBP,0.671
CUBB,0.376
DCOMP,0.621
EFSCP,0.454
FCNCO,0.016
FCNCP,0.015
FITBI,0.915
FITBO,0.824
FITBP,0.907
FRMEP,0.668
FULTP,1.117
GREEL,-1.731
HBANL,1.917
HBANM,1.785
HBANP,1.501
HTLFP,0.533
HWCPZ,0.557
INBKZ,0.589
MBINM,0.614
MBINN,0.562
MBINO,0.594
MBNKP,1.602
MNSBP,0.802
MSBIP,0.696
NEWTI,2.253
NEWTZ,2.215
NTRSO,0.373
OCFCP,0.88
ONBPO,1.326
ONBPP,1.322
PNFPP,0.304
SFB,0.571
TCBIO,0.307
TECTP,0.67
TFINP,0.644
VLYPO,1.901
VLYPP,1.895
WAFDP,0.534
WSBCP,0.59
WTFCM,0.279
WTFCP,0.28
ZIONL,0.63
ZIONO,0.651
ZIONP,0.549
ALLY,0.79
CZNC,1.12
VBFC,1.621
NKSH,1.186
UBSI,1.034
VIRT,2.331
GLBZ,0.917
FFIC,0.66
CARE,1.112
CBU,1.883
PB,0.955
NTRS,1.481
BOH,1.625
KEY,1.085
CWBC,0.989
AMTB,0.922
ICE,3.491
HTH,0.954
MKTX,7.878
PVBC,0.799
FFIN,3.496
ATLO,0.953
BLK,3.666
GBCI,1.69
TCBI,1.111
MOFG,0.821
HWBK,1.226
TW,5.052
ASB,0.773
TFIN,2.105
PBFS,0.934
FFNW,1.312
RBKB,0.878
WT,3.267
FNWB,0.561
IHT,3.165
ALRS,1.231
CME,2.883
HMST,0.554
JEF,1.371
TMP,1.306
EQBK,1.369
CFSB,0.56
AC,0.001
TCBC,0.916
CIFR,1.907
CIFRW,0.555
ECBK,0.73
NBTB,1.449
NDAQ,3.788
PEBK,1.079
SASR,0.9
TCBS,0.858
OLO,1.166
BLFY,0.628
SDIG,1.485
USIO,2.313
APLD,4.485
ASRV,0.44
BCOW,0.773
GBNY,0.947
PNBK,0.156
WULF,3.713
BANC,0.716
BRBS,0.268
COHN,0.335
GREE,-0.407
