Ticker,P/B Ratio
ONBPP,1.292
PNFPP,0.293
SFB,0.558
TCBIO,0.293
TECTP,0.653
TFINP,0.581
UCBIO,0.867
VLYPO,1.867
VLYPP,1.801
WAFDP,0.46
WSBCP,0.579
WTFCM,0.276
WTFCP,0.279
ZIONL,0.635
ZIONO,0.632
ZIONP,0.548
ALLY,0.931
CZNC,1.118
VBFC,1.018
NKSH,1.151
UBSI,1.019
VIRT,2.12
UCBI,1.05
GLBZ,0.779
FFIC,0.611
CARE,1.017
CBU,1.868
PB,0.936
NTRS,1.401
BOH,1.598
KEY,1.033
CWBC,1.044
AMTB,0.946
ICE,3.361
HTH,0.954
MKTX,6.629
PVBC,0.757
FFIN,3.352
ATLO,1.035
BLK,3.23
GBCI,1.579
TCBI,0.903
MOFG,0.801
HWBK,1.107
TW,4.392
ASB,0.757
TFIN,2.249
PBFS,0.903
FFNW,1.256
RBKB,0.729
WT,3.211
FNWB,0.57
IHT,2.266
ALRS,1.153
CME,2.703
HMST,0.541
JEF,1.282
TMP,1.233
EQBK,1.264
CFSB,0.557
AC,0.001
TCBC,0.885
CIFR,1.747
CIFRW,0.532
ECBK,0.67
NBTB,1.499
NDAQ,3.693
PEBK,1.221
SASR,0.821
TCBS,0.784
OLO,1.291
BLFY,0.656
SDIG,0.898
USIO,2.499
APLD,4.109
ASRV,0.384
BCOW,0.661
GBNY,0.629
PNBK,0.175
WULF,3.554
BANC,0.687
BRBS,0.263
COHN,0.359
GREE,-0.352
